City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,shimanovsk,52.0,127.7,-5.36,57,98,0.68,RU,2023-11-13
301,susuman,62.7833,148.1667,-28.75,98,76,0.61,RU,2023-11-13
302,daru,-9.0763,143.2092,29.05,59,28,4.06,PG,2023-11-13
303,richards bay,-28.783,32.0377,17.62,83,100,4.58,ZA,2023-11-13
304,kaifeng,34.7911,114.3483,8.27,44,0,2.98,CN,2023-11-13
305,arapgir,39.0412,38.4952,10.27,95,100,1.64,TR,2023-11-13
306,mirny,62.5353,113.9611,-9.31,92,97,4.02,RU,2023-11-13
307,cadale,2.7603,46.3222,27.59,76,100,1.69,SO,2023-11-13
308,kirkwall,58.9848,-2.9587,8.03,81,99,6.17,GB,2023-11-13
309,dolisie,-4.1997,12.6739,22.63,97,99,1.14,CG,2023-11-13
310,derzhavinsk,51.1,66.3167,3.06,79,100,5.95,KZ,2023-11-13
311,labrador city,52.9463,-66.9114,-10.05,92,100,2.06,CA,2023-11-13
312,brookings,44.3114,-96.7984,12.0,43,0,9.77,US,2023-11-13
313,biltine,14.5333,20.9167,28.87,30,92,3.4,TD,2023-11-13
314,phongsali,21.6833,102.1058,15.98,93,83,0.68,LA,2023-11-13
315,punta del este,-34.9667,-54.95,15.06,75,0,2.68,UY,2023-11-13
316,sake,-1.5736,29.045,16.66,97,73,0.31,CD,2023-11-13
317,kotabumi,-4.8333,104.9,31.87,54,93,2.7,ID,2023-11-13
318,st. john's,47.5649,-52.7093,-0.12,82,100,4.12,CA,2023-11-13
319,kutum,14.2,24.6667,22.69,35,45,3.95,SD,2023-11-13
320,nanning,22.8167,108.3167,13.25,76,100,2.19,CN,2023-11-13
321,san pedro pochutla,15.7333,-96.4667,28.84,85,22,1.53,MX,2023-11-13
322,gaspe,48.8334,-64.4819,-0.88,80,100,2.06,CA,2023-11-13
323,papao,-17.75,-149.55,29.82,93,93,6.99,PF,2023-11-13
324,bandarbeyla,9.4942,50.8122,26.42,84,94,7.49,SO,2023-11-13
325,sarov,54.9358,43.3235,5.53,80,100,5.62,RU,2023-11-13
326,alice springs,-23.7,133.8833,33.75,14,4,3.6,AU,2023-11-13
327,kalmunai,7.4167,81.8167,25.97,85,65,1.65,LK,2023-11-13
328,greenville,35.6127,-77.3663,6.09,100,0,0.0,US,2023-11-13
